sku,nombre,precio_venta,status_prediccion,inventario_entrante,disponibilidad_millennium,disponibilidad_galerias
10167,UNI-T UT336E-KIT Manometro digital con pinzas de temperatura,458.0,NUEVO,No,0.0,0.0
10165,UNI-T UT677A+ MEDIDOR DE RESISTENCIA INTERNA DE BATERIAS,0.0,NUEVO,No,0.0,5.0
10159,UNI-T UT251C+ PINZA AC PARA FUGAS DE CORRIENTES 60A,363.0,NUEVO,No,0.0,9.0
10163,UNI-T UT334F+ DETECTOR DE GASES (4 GASES) SUCCIÓN FORZADA,316.0,NUEVO,No,0.0,5.0
10161,UNI-T UT334E+ DETECTOR DE GASES (4 GASES) DIFUSIÓN NATURAL,278.0,OPTIMO,No,0.0,8.0
10155,UNI-T UT347A MEDIDOR LEEB DE DUREZA,968.0,OPTIMO,No,0.0,4.0
10160,UNI-T UT-P20 Sondas para Osciloscopios de Alto Voltaje,169.0,NUEVO,No,0.0,3.0
10166,UNI-T UT663B 360• Boroscope,337.0,SOBRESTOCK,No,-2.0,12.0
10157,UNI-T UT334E DETECTOR DE GASES (4 GASES),0.0,CRITICO,No,0.0,0.0
10156,UNI-T UT334F DETECTOR DE (GASES 4 GASES),0.0,CRITICO,No,0.0,0.0
10154,UNI-T UT505B Megohmetro/Multimetro 1000V 200Gohm,403.0,NUEVO,No,0.0,5.0
10153,UNI-T UT381A Luxómetro Digital 400.000 Lux,198.0,NUEVO,No,1.0,9.0
10152,UNI-T UT362 Anemómetro Digital (Velocidad y Volumen) Con USB,338.0,NUEVO,No,1.0,4.0
10151,UNI-T UT361 Anemómetro Digital (Velocidad y Volumen),241.0,NUEVO,No,0.0,5.0
10150,UNI-T UPO2202 Osciloscopio de Fósforo Mixto 200MHZ,1873.0,NUEVO,No,0.0,1.0
10149,UNI-T UPO2102 Osciloscopio de Fósforo Mixto 100MHZ,2207.0,NUEVO,No,0.0,2.0
10148,HIKMICRO M60 Camara Termica Profesional,7184.0,REORDER,No,0.0,2.0
10146,UNI-T LM320D Medidor de Ángulo Digital,79.0,SOBRESTOCK,No,2.0,12.0
10087,UNI-T UT-P04 Puntas de Prueba,0.0,CRITICO,No,0.0,0.0
10145,UNI-T UT353BT Decibelímetro Bluetooth,48.0,NUEVO,No,2.0,6.0
10144,UNI-T UT89XE Multímetro Digital Profesional,130.0,NUEVO,No,1.0,4.0
10143,UNI-T UT312A Medidor de Vibraciones,621.0,SOBRESTOCK,No,0.0,4.0
10142,RV M20KV Megohemtro Profesional de 20kV,5519.0,NUEVO,No,0.0,3.0
10139,HIKMICRO D01 Camara Termica,251.0,REORDER,No,1.0,12.0
10138,"UNI-T UTS3021B ANALIZADOR DE ESPECTRO 8,4GHZ",4012.0,CRITICO,No,0.0,0.0
10036,UNI-T UPO3354E Osciloscopio de fósforo 350MHZ,3523.0,CRITICO,No,0.0,0.0
10137,UNI-T UT665P-5M Boroscopio digital HD (5Mts),214.0,OPTIMO,No,1.0,24.0
10136,UNI-T UT343D medidor de espesor,220.0,REORDER,No,0.0,6.0
10135,UNI-T UT285C Analizador de energía trifásico (1Ka),6257.0,NUEVO,No,0.0,0.0
10134,UNI-T UT116A Multímetro SMD,64.0,OPTIMO,No,0.0,2.0
10097,JCD EstañoxMetro,0.0,SOBRESTOCK,No,146.0,144.0
10133,"HIKMICRO HMG620LENS1 Lente X2 para G41, G41H, G61 y G61H",3371.0,NUEVO,No,0.0,1.0
10132,HIKMICRO G41H Camara termica para altas temperaturas,15308.0,NUEVO,No,0.0,1.0
10131,HIKMICRO AI56L Camara acustica para sistemas presurizados,11406.0,NUEVO,No,0.0,0.0
10130,HIKMICRO EYEPIECE THUNDER 3.0 Adaptador monocular,199.0,CRITICO,No,0.0,0.0
10129,HIKMICRO FP21 Camara termica para bomberos,2063.0,NUEVO,No,0.0,0.0
10127,HIKMICRO BX20 Camara termica intrinsecamente segura,2881.0,NUEVO,No,0.0,0.0
10126,JCD YQK400C Prensa Terminal 400mm2,0.0,CRITICO,No,0.0,0.0
10121,HIKMICRO THUNDER 3.0 TH35C Visor Termico,3417.0,CRITICO,No,0.0,0.0
10116,HIKMICRO HM-ADAPTER-44A Adaptador Thunder,240.0,NUEVO,No,0.0,1.0
10114,HIKMICRO HM-ADAPTER-50A Adaptador Thunder,240.0,CRITICO,No,0.0,0.0
10109,HIKMICRO HM-MONO BAG Estuche monocular,145.0,NUEVO,No,0.0,2.0
10105,UNI-T UTP3315TFL-II FUENTE DE ALIMENTACÓN VARIABLE  5A,279.0,OPTIMO,No,0.0,2.0
10104,UNI-T UT256B PINZA AMPERIMÉTRICA DE HORQUILLAS,165.0,NUEVO,No,1.0,3.0
10103,UNI-T UT387C Escaner de paredes,115.0,OPTIMO,No,1.0,7.0
10098,UNI-T UT366A Manometro Digital,107.0,SOBRESTOCK,No,1.0,7.0
10096,UNI-T UT332+ Medidor de temperatura y humedad profesional,211.0,OPTIMO,No,1.0,6.0
10095,UNI-T UT273+ Telurometro tipo pinza,723.0,SOBRESTOCK,No,0.0,5.0
10092,UNI-T MARKETING MATERIAL,0.0,NUEVO,No,0.0,1297.0
